# Aozora gaiji notation → Unicode mapping (JIS X 0213:2004)
# Source : https://x0213.org/codetable/jisx0213-2004-std.txt
# License: free use/modify/distribute (Project X0213, 2009)
# Format : plane-row-cell<TAB>character<TAB>U+XXXX[+XXXX]
#   plane=1 → Aozora 第3水準1-X-Y
#   plane=2 → Aozora 第4水準2-X-Y
1-1-1	　	3000
1-67-87	笳	7B33
1-67-88	笘	7B18
1-67-89	笙	7B19
1-67-90	笞	7B1E
1-67-91	笵	7B35
1-67-92	笨	7B28
1-67-93	笶	7B36
1-67-94	筐	7B50
1-68-1	筺	7B7A
1-68-2	笄	7B04
1-68-3	筍	7B4D
1-68-4	笋	7B0B
1-68-5	筌	7B4C
1-68-6	筅	7B45
1-68-7	筵	7B75
1-68-8	筥	7B65
1-68-9	筴	7B74
1-68-10	筧	7B67
1-68-11	筰	7B70
1-68-12	筱	7B71
1-68-13	筬	7B6C
1-68-14	筮	7B6E
1-68-15	箝	7B9D
1-68-16	箘	7B98
1-68-17	箟	7B9F
1-68-18	箍	7B8D
1-68-19	箜	7B9C
1-68-20	箚	7B9A
1-68-21	箋	7B8B
1-68-22	箒	7B92
1-68-23	箏	7B8F
1-68-24	筝	7B5D
1-68-25	箙	7B99
1-68-26	篋	7BCB
1-68-27	篁	7BC1
1-68-28	篌	7BCC
1-68-29	篏	7BCF
1-68-30	箴	7BB4
1-68-31	篆	7BC6
1-68-32	篝	7BDD
1-68-33	篩	7BE9
1-68-34	簑	7C11
1-68-35	簔	7C14
1-68-36	篦	7BE6
1-68-37	篥	7BE5
1-68-38	籠	7C60
1-68-39	簀	7C00
1-68-40	簇	7C07
1-68-41	簓	7C13
1-68-42	篳	7BF3
1-68-43	篷	7BF7
1-68-44	簗	7C17
1-68-45	簍	7C0D
1-68-46	篶	7BF6
1-68-47	簣	7C23
1-68-48	簧	7C27
1-68-49	簪	7C2A
1-68-50	簟	7C1F
1-68-51	簷	7C37
1-68-52	簫	7C2B
1-68-53	簽	7C3D
1-68-54	籌	7C4C
1-68-55	籃	7C43
1-68-56	籔	7C54
1-68-57	籏	7C4F
1-68-58	籀	7C40
1-68-59	籐	7C50
1-68-60	籘	7C58
1-68-61	籟	7C5F
1-68-62	籤	7C64
1-68-63	籖	7C56
1-68-64	籥	7C65
1-68-65	籬	7C6C
1-68-66	籵	7C75
1-68-67	粃	7C83
1-68-68	粐	7C90
1-68-69	粤	7CA4
1-68-70	粭	7CAD
1-68-71	粢	7CA2
1-68-72	粫	7CAB
1-68-73	粡	7CA1
1-68-74	粨	7CA8
1-68-75	粳	7CB3
1-68-76	粲	7CB2
1-68-77	粱	7CB1
1-68-78	粮	7CAE
1-68-79	粹	7CB9
1-68-80	粽	7CBD
1-68-81	糀	7CC0
1-68-82	糅	7CC5
1-68-83	糂	7CC2
1-68-84	糘	7CD8
1-68-85	糒	7CD2
1-68-86	糜	7CDC
1-68-87	糢	7CE2
1-68-88	鬻	9B3B
1-68-89	糯	7CEF
1-68-90	糲	7CF2
1-68-91	糴	7CF4
1-68-92	糶	7CF6
1-68-93	糺	7CFA
1-68-94	紆	7D06
1-69-1	紂	7D02
1-69-2	紜	7D1C
1-69-3	紕	7D15
1-69-4	紊	7D0A
1-69-5	絅	7D45
1-69-6	絋	7D4B
1-69-7	紮	7D2E
1-69-8	紲	7D32
1-69-9	紿	7D3F
1-69-10	紵	7D35
