# Aozora gaiji notation → Unicode mapping (JIS X 0213:2004)
# Source : https://x0213.org/codetable/jisx0213-2004-std.txt
# License: free use/modify/distribute (Project X0213, 2009)
# Format : plane-row-cell<TAB>character<TAB>U+XXXX[+XXXX]
#   plane=1 → Aozora 第3水準1-X-Y
#   plane=2 → Aozora 第4水準2-X-Y
1-1-1	　	3000
1-4-76	れ	308C
1-4-77	ろ	308D
1-4-78	ゎ	308E
1-4-79	わ	308F
1-4-80	ゐ	3090
1-4-81	ゑ	3091
1-4-82	を	3092
1-4-83	ん	3093
1-4-84	ゔ	3094
1-4-85	ゕ	3095
1-4-86	ゖ	3096
1-4-87	か゚	304B+309A
1-4-88	き゚	304D+309A
1-4-89	く゚	304F+309A
1-4-90	け゚	3051+309A
1-4-91	こ゚	3053+309A
1-5-1	ァ	30A1
1-5-2	ア	30A2
1-5-3	ィ	30A3
1-5-4	イ	30A4
1-5-5	ゥ	30A5
1-5-6	ウ	30A6
1-5-7	ェ	30A7
1-5-8	エ	30A8
1-5-9	ォ	30A9
1-5-10	オ	30AA
1-5-11	カ	30AB
1-5-12	ガ	30AC
1-5-13	キ	30AD
1-5-14	ギ	30AE
1-5-15	ク	30AF
1-5-16	グ	30B0
1-5-17	ケ	30B1
1-5-18	ゲ	30B2
1-5-19	コ	30B3
1-5-20	ゴ	30B4
1-5-21	サ	30B5
1-5-22	ザ	30B6
1-5-23	シ	30B7
1-5-24	ジ	30B8
1-5-25	ス	30B9
1-5-26	ズ	30BA
1-5-27	セ	30BB
1-5-28	ゼ	30BC
1-5-29	ソ	30BD
1-5-30	ゾ	30BE
1-5-31	タ	30BF
1-5-32	ダ	30C0
1-5-33	チ	30C1
1-5-34	ヂ	30C2
1-5-35	ッ	30C3
1-5-36	ツ	30C4
1-5-37	ヅ	30C5
1-5-38	テ	30C6
1-5-39	デ	30C7
1-5-40	ト	30C8
1-5-41	ド	30C9
1-5-42	ナ	30CA
1-5-43	ニ	30CB
1-5-44	ヌ	30CC
1-5-45	ネ	30CD
1-5-46	ノ	30CE
1-5-47	ハ	30CF
1-5-48	バ	30D0
1-5-49	パ	30D1
1-5-50	ヒ	30D2
1-5-51	ビ	30D3
1-5-52	ピ	30D4
1-5-53	フ	30D5
1-5-54	ブ	30D6
1-5-55	プ	30D7
1-5-56	ヘ	30D8
1-5-57	ベ	30D9
1-5-58	ペ	30DA
1-5-59	ホ	30DB
1-5-60	ボ	30DC
1-5-61	ポ	30DD
1-5-62	マ	30DE
1-5-63	ミ	30DF
1-5-64	ム	30E0
1-5-65	メ	30E1
1-5-66	モ	30E2
1-5-67	ャ	30E3
1-5-68	ヤ	30E4
1-5-69	ュ	30E5
1-5-70	ユ	30E6
1-5-71	ョ	30E7
1-5-72	ヨ	30E8
1-5-73	ラ	30E9
1-5-74	リ	30EA
1-5-75	ル	30EB
1-5-76	レ	30EC
1-5-77	ロ	30ED
1-5-78	ヮ	30EE
1-5-79	ワ	30EF
1-5-80	ヰ	30F0
1-5-81	ヱ	30F1
1-5-82	ヲ	30F2
1-5-83	ン	30F3
1-5-84	ヴ	30F4
1-5-85	ヵ	30F5
1-5-86	ヶ	30F6
1-5-87	カ゚	30AB+309A
1-5-88	キ゚	30AD+309A
1-5-89	ク゚	30AF+309A
1-5-90	ケ゚	30B1+309A
1-5-91	コ゚	30B3+309A
1-5-92	セ゚	30BB+309A
1-5-93	ツ゚	30C4+309A
1-5-94	ト゚	30C8+309A
1-6-1	Α	0391
1-6-2	Β	0392
1-6-3	Γ	0393
1-6-4	Δ	0394
1-6-5	Ε	0395
1-6-6	Ζ	0396
1-6-7	Η	0397
1-6-8	Θ	0398
1-6-9	Ι	0399
1-6-10	Κ	039A
1-6-11	Λ	039B
1-6-12	Μ	039C
1-6-13	Ν	039D
1-6-14	Ξ	039E
1-6-15	Ο	039F
1-6-16	Π	03A0
1-6-17	Ρ	03A1
1-6-18	Σ	03A3
1-6-19	Τ	03A4
1-6-20	Υ	03A5
1-6-21	Φ	03A6
1-6-22	Χ	03A7
1-6-23	Ψ	03A8
1-6-24	Ω	03A9
1-6-25	♤	2664
1-6-26	♠	2660
1-6-27	♢	2662
1-6-28	♦	2666
1-6-29	♡	2661
1-6-30	♥	2665
1-6-31	♧	2667
1-6-32	♣	2663
1-6-33	α	03B1
1-6-34	β	03B2
1-6-35	γ	03B3
1-6-36	δ	03B4
1-6-37	ε	03B5
1-6-38	ζ	03B6
1-6-39	η	03B7
1-6-40	θ	03B8
1-6-41	ι	03B9
1-6-42	κ	03BA
1-6-43	λ	03BB
1-6-44	μ	03BC
1-6-45	ν	03BD
1-6-46	ξ	03BE
1-6-47	ο	03BF
1-6-48	π	03C0
1-6-49	ρ	03C1
1-6-50	σ	03C3
1-6-51	τ	03C4
1-6-52	υ	03C5
1-6-53	φ	03C6
1-6-54	χ	03C7
1-6-55	ψ	03C8
1-6-56	ω	03C9
1-6-57	ς	03C2
1-6-58	⓵	24F5
1-6-59	⓶	24F6
1-6-60	⓷	24F7
1-6-61	⓸	24F8
1-6-62	⓹	24F9
1-6-63	⓺	24FA
1-6-64	⓻	24FB
1-6-65	⓼	24FC
1-6-66	⓽	24FD
1-6-67	⓾	24FE
1-6-68	☖	2616
1-6-69	☗	2617
1-6-70	〠	3020
1-6-71	☎	260E
1-6-72	☀	2600
1-6-73	☁	2601
1-6-74	☂	2602
1-6-75	☃	2603
1-6-76	♨	2668
1-6-77	▱	25B1
1-6-78	ㇰ	31F0
1-6-79	ㇱ	31F1
1-6-80	ㇲ	31F2
1-6-81	ㇳ	31F3
1-6-82	ㇴ	31F4
1-6-83	ㇵ	31F5
1-6-84	ㇶ	31F6
1-6-85	ㇷ	31F7
1-6-86	ㇸ	31F8
1-6-87	ㇹ	31F9
1-6-88	ㇷ゚	31F7+309A
1-6-89	ㇺ	31FA
1-6-90	ㇻ	31FB
1-6-91	ㇼ	31FC
1-6-92	ㇽ	31FD
1-6-93	ㇾ	31FE
1-6-94	ㇿ	31FF
1-7-1	А	0410
1-7-2	Б	0411
1-7-3	В	0412
1-7-4	Г	0413
1-7-5	Д	0414
1-7-6	Е	0415
1-7-7	Ё	0401
1-7-8	Ж	0416
1-7-9	З	0417
1-7-10	И	0418
1-7-11	Й	0419
1-7-12	К	041A
1-7-13	Л	041B
1-7-14	М	041C
1-7-15	Н	041D
1-7-16	О	041E
1-7-17	П	041F
1-7-18	Р	0420
1-7-19	С	0421
1-7-20	Т	0422
1-7-21	У	0423
1-7-22	Ф	0424
1-7-23	Х	0425
1-7-24	Ц	0426
1-7-25	Ч	0427
1-7-26	Ш	0428
1-7-27	Щ	0429
1-7-28	Ъ	042A
1-7-29	Ы	042B
1-7-30	Ь	042C
1-7-31	Э	042D
1-7-32	Ю	042E
1-7-33	Я	042F
1-7-34	⎾	23BE
1-7-35	⎿	23BF
1-7-36	⏀	23C0
1-7-37	⏁	23C1
1-7-38	⏂	23C2
1-7-39	⏃	23C3
1-7-40	⏄	23C4
1-7-41	⏅	23C5
1-7-42	⏆	23C6
1-7-43	⏇	23C7
1-7-44	⏈	23C8
1-7-45	⏉	23C9
1-7-46	⏊	23CA
1-7-47	⏋	23CB
1-7-48	⏌	23CC
1-7-49	а	0430
1-7-50	б	0431
1-7-51	в	0432
1-7-52	г	0433
1-7-53	д	0434
1-7-54	е	0435
1-7-55	ё	0451
1-7-56	ж	0436
1-7-57	з	0437
1-7-58	и	0438
1-7-59	й	0439
1-7-60	к	043A
1-7-61	л	043B
1-7-62	м	043C
1-7-63	н	043D
1-7-64	о	043E
1-7-65	п	043F
1-7-66	р	0440
1-7-67	с	0441
1-7-68	т	0442
1-7-69	у	0443
1-7-70	ф	0444
1-7-71	х	0445
1-7-72	ц	0446
1-7-73	ч	0447
1-7-74	ш	0448
1-7-75	щ	0449
1-7-76	ъ	044A
1-7-77	ы	044B
1-7-78	ь	044C
1-7-79	э	044D
1-7-80	ю	044E
1-7-81	я	044F
1-7-82	ヷ	30F7
1-7-83	ヸ	30F8
1-7-84	ヹ	30F9
1-7-85	ヺ	30FA
1-7-86	⋚	22DA
1-7-87	⋛	22DB
1-7-88	⅓	2153
1-7-89	⅔	2154
1-7-90	⅕	2155
1-7-91	✓	2713
1-7-92	⌘	2318
1-7-93	␣	2423
1-7-94	⏎	23CE
1-8-1	─	2500
1-8-2	│	2502
1-8-3	┌	250C
1-8-4	┐	2510
1-8-5	┘	2518
1-8-6	└	2514
1-8-7	├	251C
1-8-8	┬	252C
1-8-9	┤	2524
1-8-10	┴	2534
1-8-11	┼	253C
1-8-12	━	2501
1-8-13	┃	2503
1-8-14	┏	250F
1-8-15	┓	2513
1-8-16	┛	251B
1-8-17	┗	2517
1-8-18	┣	2523
1-8-19	┳	2533
1-8-20	┫	252B
1-8-21	┻	253B
1-8-22	╋	254B
1-8-23	┠	2520
1-8-24	┯	252F
1-8-25	┨	2528
1-8-26	┷	2537
1-8-27	┿	253F
1-8-28	┝	251D
1-8-29	┰	2530
1-8-30	┥	2525
1-8-31	┸	2538
1-8-32	╂	2542
1-8-33	㉑	3251
1-8-34	㉒	3252
1-8-35	㉓	3253
1-8-36	㉔	3254
1-8-37	㉕	3255
1-8-38	㉖	3256
1-8-39	㉗	3257
1-8-40	㉘	3258
1-8-41	㉙	3259
1-8-42	㉚	325A
1-8-43	㉛	325B
1-8-44	㉜	325C
1-8-45	㉝	325D
1-8-46	㉞	325E
1-8-47	㉟	325F
1-8-48	㊱	32B1
1-8-49	㊲	32B2
1-8-50	㊳	32B3
1-8-51	㊴	32B4
1-8-52	㊵	32B5
1-8-53	㊶	32B6
1-8-54	㊷	32B7
1-8-55	㊸	32B8
1-8-56	㊹	32B9
1-8-57	㊺	32BA
1-8-58	㊻	32BB
1-8-59	㊼	32BC
1-8-60	㊽	32BD
1-8-61	㊾	32BE
1-8-62	㊿	32BF
1-8-71	◐	25D0
1-8-72	◑	25D1
1-8-73	◒	25D2
1-8-74	◓	25D3
1-8-75	‼	203C
1-8-76	⁇	2047
1-8-77	⁈	2048
1-8-78	⁉	2049
1-8-79	Ǎ	01CD
1-8-80	ǎ	01CE
1-8-81	ǐ	01D0
1-8-82	Ḿ	1E3E
1-8-83	ḿ	1E3F
1-8-84	Ǹ	01F8
1-8-85	ǹ	01F9
1-8-86	Ǒ	01D1
1-8-87	ǒ	01D2
1-8-88	ǔ	01D4
1-8-89	ǖ	01D6
1-8-90	ǘ	01D8
1-8-91	ǚ	01DA
1-8-92	ǜ	01DC
1-9-1	€	20AC
1-9-2	 	00A0
1-9-3	¡	00A1
1-9-4	¤	00A4
1-9-5	¦	00A6
1-9-6	©	00A9
1-9-7	ª	00AA
1-9-8	«	00AB
1-9-9	­	00AD
1-9-10	®	00AE
1-9-11	¯	00AF
1-9-12	²	00B2
1-9-13	³	00B3
1-9-14	·	00B7
1-9-15	¸	00B8
1-9-16	¹	00B9
1-9-17	º	00BA
1-9-18	»	00BB
1-9-19	¼	00BC
1-9-20	½	00BD
1-9-21	¾	00BE
1-9-22	¿	00BF
1-9-23	À	00C0
1-9-24	Á	00C1
1-9-25	Â	00C2
1-9-26	Ã	00C3
1-9-27	Ä	00C4
1-9-28	Å	00C5
1-9-29	Æ	00C6
1-9-30	Ç	00C7
1-9-31	È	00C8
1-9-32	É	00C9
1-9-33	Ê	00CA
1-9-34	Ë	00CB
1-9-35	Ì	00CC
1-9-36	Í	00CD
1-9-37	Î	00CE
1-9-38	Ï	00CF
1-9-39	Ð	00D0
1-9-40	Ñ	00D1
1-9-41	Ò	00D2
1-9-42	Ó	00D3
1-9-43	Ô	00D4
1-9-44	Õ	00D5
1-9-45	Ö	00D6
1-9-46	Ø	00D8
1-9-47	Ù	00D9
1-9-48	Ú	00DA
1-9-49	Û	00DB
1-9-50	Ü	00DC
1-9-51	Ý	00DD
1-9-52	Þ	00DE
1-9-53	ß	00DF
1-9-54	à	00E0
1-9-55	á	00E1
1-9-56	â	00E2
1-9-57	ã	00E3
1-9-58	ä	00E4
1-9-59	å	00E5
1-9-60	æ	00E6
1-9-61	ç	00E7
1-9-62	è	00E8
1-9-63	é	00E9
1-9-64	ê	00EA
1-9-65	ë	00EB
1-9-66	ì	00EC
1-9-67	í	00ED
1-9-68	î	00EE
1-9-69	ï	00EF
1-9-70	ð	00F0
1-9-71	ñ	00F1
1-9-72	ò	00F2
1-9-73	ó	00F3
1-9-74	ô	00F4
1-9-75	õ	00F5
1-9-76	ö	00F6
1-9-77	ø	00F8
1-9-78	ù	00F9
1-9-79	ú	00FA
1-9-80	û	00FB
1-9-81	ü	00FC
1-9-82	ý	00FD
1-9-83	þ	00FE
1-9-84	ÿ	00FF
1-9-85	Ā	0100
1-9-86	Ī	012A
1-9-87	Ū	016A
1-9-88	Ē	0112
1-9-89	Ō	014C
1-9-90	ā	0101
1-9-91	ī	012B
1-9-92	ū	016B
1-9-93	ē	0113
1-9-94	ō	014D
1-10-1	Ą	0104
1-10-2	˘	02D8
1-10-3	Ł	0141
1-10-4	Ľ	013D
1-10-5	Ś	015A
1-10-6	Š	0160
1-10-7	Ş	015E
1-10-8	Ť	0164
1-10-9	Ź	0179
1-10-10	Ž	017D
1-10-11	Ż	017B
1-10-12	ą	0105
1-10-13	˛	02DB
1-10-14	ł	0142
1-10-15	ľ	013E
1-10-16	ś	015B
1-10-17	ˇ	02C7
1-10-18	š	0161
1-10-19	ş	015F
1-10-20	ť	0165
1-10-21	ź	017A
1-10-22	˝	02DD
1-10-23	ž	017E
1-10-24	ż	017C
1-10-25	Ŕ	0154
1-10-26	Ă	0102
1-10-27	Ĺ	0139
1-10-28	Ć	0106
1-10-29	Č	010C
1-10-30	Ę	0118
1-10-31	Ě	011A
1-10-32	Ď	010E
1-10-33	Ń	0143
1-10-34	Ň	0147
1-10-35	Ő	0150
1-10-36	Ř	0158
1-10-37	Ů	016E
1-10-38	Ű	0170
1-10-39	Ţ	0162
1-10-40	ŕ	0155
1-10-41	ă	0103
1-10-42	ĺ	013A
1-10-43	ć	0107
1-10-44	č	010D
1-10-45	ę	0119
1-10-46	ě	011B
1-10-47	ď	010F
1-10-48	đ	0111
1-10-49	ń	0144
1-10-50	ň	0148
1-10-51	ő	0151
1-10-52	ř	0159
1-10-53	ů	016F
1-10-54	ű	0171
1-10-55	ţ	0163
1-10-56	˙	02D9
1-10-57	Ĉ	0108
1-10-58	Ĝ	011C
1-10-59	Ĥ	0124
1-10-60	Ĵ	0134
1-10-61	Ŝ	015C
1-10-62	Ŭ	016C
1-10-63	ĉ	0109
1-10-64	ĝ	011D
1-10-65	ĥ	0125
1-10-66	ĵ	0135
1-10-67	ŝ	015D
1-10-68	ŭ	016D
1-10-69	ɱ	0271
1-10-70	ʋ	028B
1-10-71	ɾ	027E
1-10-72	ʃ	0283
1-10-73	ʒ	0292
1-10-74	ɬ	026C
1-10-75	ɮ	026E
1-10-76	ɹ	0279
1-10-77	ʈ	0288
1-10-78	ɖ	0256
1-10-79	ɳ	0273
1-10-80	ɽ	027D
1-10-81	ʂ	0282
1-10-82	ʐ	0290
1-10-83	ɻ	027B
1-10-84	ɭ	026D
1-10-85	ɟ	025F
1-10-86	ɲ	0272
1-10-87	ʝ	029D
1-10-88	ʎ	028E
1-10-89	ɡ	0261
1-10-90	ŋ	014B
1-10-91	ɰ	0270
1-10-92	ʁ	0281
1-10-93	ħ	0127
1-10-94	ʕ	0295
1-11-1	ʔ	0294
1-11-2	ɦ	0266
1-11-3	ʘ	0298
1-11-4	ǂ	01C2
1-11-5	ɓ	0253
1-11-6	ɗ	0257
1-11-7	ʄ	0284
1-11-8	ɠ	0260
1-11-9	Ɠ	0193
1-11-10	œ	0153
1-11-11	Œ	0152
1-11-12	ɨ	0268
1-11-13	ʉ	0289
1-11-14	ɘ	0258
1-11-15	ɵ	0275
1-11-16	ə	0259
1-11-17	ɜ	025C
1-11-18	ɞ	025E
1-11-19	ɐ	0250
1-11-20	ɯ	026F
1-11-21	ʊ	028A
1-11-22	ɤ	0264
1-11-23	ʌ	028C
1-11-24	ɔ	0254
1-11-25	ɑ	0251
1-11-26	ɒ	0252
1-11-27	ʍ	028D
1-11-28	ɥ	0265
1-11-29	ʢ	02A2
1-11-30	ʡ	02A1
1-11-31	ɕ	0255
1-11-32	ʑ	0291
1-11-33	ɺ	027A
1-11-34	ɧ	0267
1-11-35	ɚ	025A
1-11-36	æ̀	00E6+0300
1-11-37	ǽ	01FD
1-11-38	ὰ	1F70
1-11-39	ά	1F71
1-11-40	ɔ̀	0254+0300
1-11-41	ɔ́	0254+0301
1-11-42	ʌ̀	028C+0300
1-11-43	ʌ́	028C+0301
1-11-44	ə̀	0259+0300
1-11-45	ə́	0259+0301
1-11-46	ɚ̀	025A+0300
1-11-47	ɚ́	025A+0301
1-11-48	ὲ	1F72
1-11-49	έ	1F73
1-11-50	͡	0361
1-11-51	ˈ	02C8
1-11-52	ˌ	02CC
1-11-53	ː	02D0
1-11-54	ˑ	02D1
1-11-55	̆	0306
1-11-56	‿	203F
1-11-57	̋	030B
1-11-58	́	0301
1-11-59	̄	0304
1-11-60	̀	0300
1-11-61	̏	030F
1-11-62	̌	030C
1-11-63	̂	0302
1-11-64	˥	02E5
1-11-65	˦	02E6
1-11-66	˧	02E7
1-11-67	˨	02E8
1-11-68	˩	02E9
1-11-69	˩˥	02E9+02E5
1-11-70	˥˩	02E5+02E9
1-11-71	̥	0325
1-11-72	̬	032C
1-11-73	̹	0339
1-11-74	̜	031C
1-11-75	̟	031F
1-11-76	̠	0320
1-11-77	̈	0308
1-11-78	̽	033D
1-11-79	̩	0329
1-11-80	̯	032F
1-11-81	˞	02DE
1-11-82	̤	0324
1-11-83	̰	0330
1-11-84	̼	033C
1-11-85	̴	0334
1-11-86	̝	031D
1-11-87	̞	031E
1-11-88	̘	0318
1-11-89	̙	0319
1-11-90	̪	032A
1-11-91	̺	033A
1-11-92	̻	033B
1-11-93	̃	0303
1-11-94	̚	031A
1-12-1	❶	2776
1-12-2	❷	2777
1-12-3	❸	2778
1-12-4	❹	2779
1-12-5	❺	277A
1-12-6	❻	277B
1-12-7	❼	277C
1-12-8	❽	277D
1-12-9	❾	277E
1-12-10	❿	277F
1-12-11	⓫	24EB
1-12-12	⓬	24EC
1-12-13	⓭	24ED
1-12-14	⓮	24EE
1-12-15	⓯	24EF
1-12-16	⓰	24F0
1-12-17	⓱	24F1
1-12-18	⓲	24F2
1-12-19	⓳	24F3
1-12-20	⓴	24F4
1-12-21	ⅰ	2170
1-12-22	ⅱ	2171
1-12-23	ⅲ	2172
1-12-24	ⅳ	2173
1-12-25	ⅴ	2174
1-12-26	ⅵ	2175
1-12-27	ⅶ	2176
1-12-28	ⅷ	2177
1-12-29	ⅸ	2178
1-12-30	ⅹ	2179
1-12-31	ⅺ	217A
1-12-32	ⅻ	217B
1-12-33	ⓐ	24D0
1-12-34	ⓑ	24D1
1-12-35	ⓒ	24D2
1-12-36	ⓓ	24D3
1-12-37	ⓔ	24D4
1-12-38	ⓕ	24D5
1-12-39	ⓖ	24D6
1-12-40	ⓗ	24D7
1-12-41	ⓘ	24D8
1-12-42	ⓙ	24D9
1-12-43	ⓚ	24DA
1-12-44	ⓛ	24DB
1-12-45	ⓜ	24DC
1-12-46	ⓝ	24DD
1-12-47	ⓞ	24DE
1-12-48	ⓟ	24DF
1-12-49	ⓠ	24E0
1-12-50	ⓡ	24E1
1-12-51	ⓢ	24E2
1-12-52	ⓣ	24E3
1-12-53	ⓤ	24E4
1-12-54	ⓥ	24E5
1-12-55	ⓦ	24E6
1-12-56	ⓧ	24E7
1-12-57	ⓨ	24E8
1-12-58	ⓩ	24E9
1-12-59	㋐	32D0
1-12-60	㋑	32D1
1-12-61	㋒	32D2
1-12-62	㋓	32D3
1-12-63	㋔	32D4
1-12-64	㋕	32D5
1-12-65	㋖	32D6
1-12-66	㋗	32D7
1-12-67	㋘	32D8
1-12-68	㋙	32D9
1-12-69	㋚	32DA
1-12-70	㋛	32DB
1-12-71	㋜	32DC
1-12-72	㋝	32DD
1-12-73	㋞	32DE
1-12-74	㋟	32DF
1-12-75	㋠	32E0
1-12-76	㋡	32E1
1-12-77	㋢	32E2
1-12-78	㋣	32E3
1-12-79	㋺	32FA
1-12-80	㋩	32E9
1-12-81	㋥	32E5
1-12-82	㋭	32ED
1-12-83	㋬	32EC
1-12-93	⁑	2051
1-12-94	⁂	2042
1-13-1	①	2460
1-13-2	②	2461
1-13-3	③	2462
1-13-4	④	2463
1-13-5	⑤	2464
1-13-6	⑥	2465
1-13-7	⑦	2466
1-13-8	⑧	2467
1-13-9	⑨	2468
1-13-10	⑩	2469
1-13-11	⑪	246A
1-13-12	⑫	246B
1-13-13	⑬	246C
1-13-14	⑭	246D
1-13-15	⑮	246E
1-13-16	⑯	246F
1-13-17	⑰	2470
1-13-18	⑱	2471
1-13-19	⑲	2472
1-13-20	⑳	2473
1-13-21	Ⅰ	2160
1-13-22	Ⅱ	2161
1-13-23	Ⅲ	2162
1-13-24	Ⅳ	2163
1-13-25	Ⅴ	2164
1-13-26	Ⅵ	2165
1-13-27	Ⅶ	2166
1-13-28	Ⅷ	2167
1-13-29	Ⅸ	2168
1-13-30	Ⅹ	2169
1-13-31	Ⅺ	216A
1-13-32	㍉	3349
1-13-33	㌔	3314
1-13-34	㌢	3322
1-13-35	㍍	334D
1-13-36	㌘	3318
1-13-37	㌧	3327
1-13-38	㌃	3303
1-13-39	㌶	3336
1-13-40	㍑	3351
1-13-41	㍗	3357
1-13-42	㌍	330D
1-13-43	㌦	3326
1-13-44	㌣	3323
1-13-45	㌫	332B
1-13-46	㍊	334A
1-13-47	㌻	333B
1-13-48	㎜	339C
1-13-49	㎝	339D
1-13-50	㎞	339E
1-13-51	㎎	338E
1-13-52	㎏	338F
1-13-53	㏄	33C4
1-13-54	㎡	33A1
1-13-55	Ⅻ	216B
1-13-63	㍻	337B
1-13-64	〝	301D
1-13-65	〟	301F
1-13-66	№	2116
1-13-67	㏍	33CD
1-13-68	℡	2121
1-13-69	㊤	32A4
1-13-70	㊥	32A5
1-13-71	㊦	32A6
1-13-72	㊧	32A7
1-13-73	㊨	32A8
1-13-74	㈱	3231
1-13-75	㈲	3232
1-13-76	㈹	3239
1-13-77	㍾	337E
1-13-78	㍽	337D
1-13-79	㍼	337C
1-13-83	∮	222E
1-13-88	∟	221F
1-13-89	⊿	22BF
1-13-93	❖	2756
1-13-94	☞	261E
1-14-1	俱	4FF1
1-14-2	𠀋	2000B
1-14-3	㐂	3402
1-14-4	丨	4E28
1-14-5	丯	4E2F
1-14-6	丰	4E30
1-14-7	亍	4E8D
1-14-8	仡	4EE1
1-14-9	份	4EFD
1-14-10	仿	4EFF
1-14-11	伃	4F03
1-14-12	伋	4F0B
1-14-13	你	4F60
1-14-14	佈	4F48
1-14-15	佉	4F49
1-14-16	佖	4F56
1-14-17	佟	4F5F
1-14-18	佪	4F6A
1-14-19	佬	4F6C
1-14-20	佾	4F7E
1-14-21	侊	4F8A
1-14-22	侔	4F94
1-14-23	侗	4F97
1-14-24	侮	FA30
1-14-25	俉	4FC9
1-14-26	俠	4FE0
1-14-27	倁	5001
1-14-28	倂	5002
1-14-29	倎	500E
1-14-30	倘	5018
1-14-31	倧	5027
1-14-32	倮	502E
1-14-33	偀	5040
1-14-34	倻	503B
1-14-35	偁	5041
1-14-36	傔	5094
1-14-37	僌	50CC
1-14-38	僲	50F2
1-14-39	僐	50D0
1-14-40	僦	50E6
1-14-41	僧	FA31
1-14-42	儆	5106
1-14-43	儃	5103
1-14-44	儋	510B
1-14-45	儞	511E
1-14-46	儵	5135
1-14-47	兊	514A
1-14-48	免	FA32
1-14-49	兕	5155
1-14-50	兗	5157
1-14-51	㒵	34B5
1-14-52	冝	519D
1-14-53	凃	51C3
1-14-54	凊	51CA
1-14-55	凞	51DE
1-14-56	凢	51E2
1-14-57	凮	51EE
1-14-58	刁	5201
1-14-59	㓛	34DB
1-14-60	刓	5213
1-14-61	刕	5215
1-14-62	剉	5249
1-14-63	剗	5257
1-14-64	剡	5261
1-14-65	劓	5293
1-14-66	勈	52C8
1-14-67	勉	FA33
1-14-68	勌	52CC
1-14-69	勐	52D0
1-14-70	勖	52D6
1-14-71	勛	52DB
1-14-72	勤	FA34
1-14-73	勰	52F0
1-14-74	勻	52FB
1-14-75	匀	5300
1-14-76	匇	5307
1-14-77	匜	531C
1-14-78	卑	FA35
1-14-79	卡	5361
1-14-80	卣	5363
1-14-81	卽	537D
1-14-82	厓	5393
1-14-83	厝	539D
1-14-84	厲	53B2
1-14-85	吒	5412
1-14-86	吧	5427
1-14-87	呍	544D
1-14-88	咜	549C
1-14-89	呫	546B
1-14-90	呴	5474
1-14-91	呿	547F
1-14-92	咈	5488
1-14-93	咖	5496
1-14-94	咡	54A1
1-15-1	咩	54A9
1-15-2	哆	54C6
1-15-3	哿	54FF
1-15-4	唎	550E
1-15-5	唫	552B
1-15-6	唵	5535
1-15-7	啐	5550
1-15-8	啞	555E
1-15-9	喁	5581
1-15-10	喆	5586
1-15-11	喎	558E
1-15-12	喝	FA36
1-15-13	喭	55AD
1-15-14	嗎	55CE
1-15-15	嘆	FA37
1-15-16	嘈	5608
1-15-17	嘎	560E
1-15-18	嘻	563B
1-15-19	噉	5649
1-15-20	噶	5676
1-15-21	噦	5666
1-15-22	器	FA38
1-15-23	噯	566F
1-15-24	噱	5671
1-15-25	噲	5672
1-15-26	嚙	5699
1-15-27	嚞	569E
1-15-28	嚩	56A9
1-15-29	嚬	56AC
1-15-30	嚳	56B3
1-15-31	囉	56C9
1-15-32	囊	56CA
1-15-33	圊	570A
1-15-34	𡈽	2123D
1-15-35	圡	5721
1-15-36	圯	572F
1-15-37	圳	5733
1-15-38	圴	5734
1-15-39	坰	5770
1-15-40	坷	5777
1-15-41	坼	577C
1-15-42	垜	579C
1-15-43	﨏	FA0F
1-15-44	𡌛	2131B
1-15-45	垸	57B8
1-15-46	埇	57C7
1-15-47	埈	57C8
1-15-48	埏	57CF
1-15-49	埤	57E4
1-15-50	埭	57ED
1-15-51	埵	57F5
1-15-52	埶	57F6
1-15-53	埿	57FF
1-15-54	堉	5809
1-15-55	塚	FA10
1-15-56	塡	5861
1-15-57	塤	5864
1-15-58	塀	FA39
1-15-59	塼	587C
1-15-60	墉	5889
1-15-61	增	589E
1-15-62	墨	FA3A
1-15-63	墩	58A9
1-15-64	𡑮	2146E
1-15-65	壒	58D2
1-15-66	壎	58CE
1-15-67	壔	58D4
1-15-68	壚	58DA
1-15-69	壠	58E0
1-15-70	壩	58E9
1-15-71	夌	590C
1-15-72	虁	8641
1-15-73	奝	595D
1-15-74	奭	596D
1-15-75	妋	598B
1-15-76	妒	5992
1-15-77	妤	59A4
1-15-78	姃	59C3
1-15-79	姒	59D2
1-15-80	姝	59DD
1-15-81	娓	5A13
1-15-82	娣	5A23
1-15-83	婧	5A67
1-15-84	婭	5A6D
1-15-85	婷	5A77
1-15-86	婾	5A7E
1-15-87	媄	5A84
1-15-88	媞	5A9E
1-15-89	媧	5AA7
1-15-90	嫄	5AC4
1-15-91	𡢽	218BD
1-15-92	嬙	5B19
1-15-93	嬥	5B25
1-15-94	剝	525D
1-16-1	亜	4E9C
1-16-2	唖	5516
1-16-3	娃	5A03
1-16-4	阿	963F
1-16-5	哀	54C0
1-16-6	愛	611B
1-16-7	挨	6328
1-16-8	姶	59F6
1-16-9	逢	9022
1-16-10	葵	8475
1-16-11	茜	831C
1-16-12	穐	7A50
1-16-13	悪	60AA
1-16-14	握	63E1
1-16-15	渥	6E25
1-16-16	旭	65ED
1-16-17	葦	8466
1-16-18	芦	82A6
1-16-19	鯵	9BF5
1-16-20	梓	6893
1-16-21	圧	5727
1-16-22	斡	65A1
1-16-23	扱	6271
